Archivo,sis,dias,map,fc,sat,etco2,vt
s1_0156.tiff,,55,,4,99,,
s1_0157.tiff,,55,2,148,99,,7
s1_0158.tiff,,55,2,4,99,,
s1_0159.tiff,,55,,49,100,4,
s1_0160.tiff,89,55,,148,99,,
s1_0161.tiff,90,55,,,99,1,
s1_0162.tiff,90,55,,,98,,
s1_0163.tiff,90,55,,148,398,,
s1_0164.tiff,8,54,,148,98,,
s1_0165.tiff,8,54,,14,98,,
s1_0166.tiff,,54,,148,99,,
s1_0167.tiff,90,55,,147,99,,7
s1_0168.tiff,90,55,,147,99,,2
s1_0169.tiff,90,55,,147,99,,
s1_0170.tiff,90,55,,147,99,,
s1_0171.tiff,,54,,146,99,,
s1_0172.tiff,,54,,146,99,,
s1_0173.tiff,90,55,,146,98,,
s1_0174.tiff,91,55,,146,98,,
s1_0175.tiff,,55,,,98,,
s1_0176.tiff,,55,,147,98,,7
s1_0177.tiff,8,54,,147,,,7
s1_0178.tiff,,54,,147,99,,
s1_0179.tiff,90,55,,147,399,,
s1_0180.tiff,91,55,,4,99,,
s1_0181.tiff,91,55,,147,99,,7
s1_0182.tiff,88,54,,147,99,,
s1_0183.tiff,88,54,,147,99,,5
s1_0184.tiff,,54,,147,99,,
s1_0185.tiff,90,55,,147,100,,7
s1_0186.tiff,90,55,,147,100,,
s1_0187.tiff,90,55,,146,99,,
s1_0188.tiff,90,55,,,99,,
s1_0189.tiff,88,54,,146,99,,
s1_0190.tiff,88,54,,147,100,,
s1_0191.tiff,8,54,,147,100,,
s1_0192.tiff,90,55,,147,100,,
s1_0193.tiff,90,55,,147,399,,7
s1_0194.tiff,90,55,,147,99,,
s1_0195.tiff,8,54,,147,99,,
s1_0196.tiff,88,54,,147,100,,
s1_0197.tiff,,54,,147,99,,
s1_0198.tiff,90,54,,147,99,,
s1_0199.tiff,90,54,,146,99,,50
s1_0200.tiff,90,54,,146,99,,
s1_0201.tiff,,54,,146,99,,
s1_0202.tiff,88,5,,,99,,
s1_0203.tiff,,5,,145,,,
s1_0204.tiff,,54,,145,,8,
s1_0205.tiff,89,54,,145,,,
s1_0206.tiff,87,54,,145,,8,
s1_0207.tiff,87,5,,146,99,,
s1_0208.tiff,87,54,,146,98,,7
s1_0209.tiff,89,54,,146,98,,
s1_0210.tiff,89,54,,146,98,,
s1_0211.tiff,,54,,146,99,,
s1_0212.tiff,,,,146,99,,
s1_0213.tiff,7,5,,146,99,,
s1_0214.tiff,87,5,,145,99,,2
s1_0215.tiff,88,54,,145,99,,
s1_0216.tiff,,5,,145,99,4,
s1_0217.tiff,89,5,,145,39,,7
s1_0218.tiff,,5,,145,39,7,
s1_0219.tiff,,5,,145,99,,
s1_0220.tiff,,54,,145,39,,7
s1_0221.tiff,3,5,,,39,,
s1_0222.tiff,,,,145,99,,
s1_0223.tiff,0,4,,145,,3,
s1_0224.tiff,,5,,145,99,,
s1_0225.tiff,,5,,145,100,,
s1_0226.tiff,,5,,145,99,,4
s1_0227.tiff,83,5,,145,99,,7
s1_0228.tiff,90,55,,145,99,,
s1_0229.tiff,90,55,,145,99,,
s1_0230.tiff,90,55,,145,,,
s1_0231.tiff,88,5,,145,,7,
s1_0232.tiff,,54,,145,99,,9
s1_0233.tiff,,55,,145,99,,
s1_0234.tiff,,55,,145,,,
s1_0235.tiff,,55,,145,99,,
s1_0236.tiff,,,,145,100,,
s1_0237.tiff,,5,,146,100,8,
s1_0238.tiff,88,5,,146,100,,7
s1_0239.tiff,90,55,,146,99,,7
s1_0240.tiff,91,55,,146,99,,
s1_0241.tiff,,55,,146,99,,3
s1_0242.tiff,,55,,146,99,,
s1_0243.tiff,,5,,146,99,,
s1_0244.tiff,89,54,,146,99,,
s1_0245.tiff,90,55,,146,99,,
s1_0246.tiff,90,55,,146,99,,
s1_0247.tiff,90,55,,145,99,,3
s1_0248.tiff,,54,,146,99,,
s1_0249.tiff,88,54,,46,99,,
s1_0250.tiff,88,54,,146,99,,
s1_0251.tiff,90,55,,46,99,,
s1_0252.tiff,90,55,,146,99,,
s1_0253.tiff,90,55,,146,399,,
s1_0254.tiff,,54,7,146,99,,7
s1_0255.tiff,88,54,,146,99,,
s1_0256.tiff,,54,,146,,,
s1_0257.tiff,3,54,,145,99,,
s1_0258.tiff,,55,,46,99,7,
s1_0259.tiff,,55,,145,99,,
s1_0260.tiff,91,55,,145,99,7,
s1_0261.tiff,88,54,,146,99,,
s1_0262.tiff,88,54,,146,99,,
s1_0263.tiff,90,55,,146,99,,
s1_0264.tiff,90,55,,146,99,,
s1_0265.tiff,90,55,,146,99,,
s1_0266.tiff,90,55,,146,100,,
s1_0267.tiff,88,5,,146,100,,
s1_0268.tiff,88,54,,146,100,,
s1_0269.tiff,90,55,,147,100,,
s1_0270.tiff,91,55,,46,100,7,
s1_0271.tiff,1,55,,147,100,,7
s1_0272.tiff,,54,,147,100,,
s1_0273.tiff,89,54,,147,100,,6
s1_0274.tiff,,54,,147,100,,
s1_0275.tiff,90,55,,147,100,,
s1_0276.tiff,90,55,,147,100,,
s1_0277.tiff,90,55,,147,100,,
s1_0278.tiff,90,55,,147,99,,
s1_0279.tiff,8,54,7,147,100,,
s1_0280.tiff,89,54,,147,100,,
s1_0281.tiff,90,55,,147,99,,
s1_0282.tiff,91,55,,147,99,,
s1_0283.tiff,,55,,146,100,7,
s1_0284.tiff,1,55,,147,99,,
s1_0285.tiff,89,54,,147,99,,
s1_0286.tiff,,5,,147,100,,
s1_0287.tiff,90,55,,146,100,,
s1_0288.tiff,91,55,,146,100,,
s1_0289.tiff,,55,,146,100,,2
s1_0290.tiff,,55,,146,99,,
s1_0291.tiff,3,54,,146,,,
s1_0292.tiff,,5,,146,99,,
s1_0293.tiff,91,55,,146,99,,
s1_0294.tiff,90,55,,146,399,,
s1_0295.tiff,90,55,,146,99,,
s1_0296.tiff,90,55,,146,,,
s1_0297.tiff,89,5,,146,,,
s1_0298.tiff,3,5,,146,,,
s1_0299.tiff,90,55,,146,,2,
s1_0300.tiff,91,55,,146,93,,
s1_0301.tiff,,55,,146,100,3,
s1_0302.tiff,,55,,46,100,,
s1_0303.tiff,89,5,,146,100,4,
s1_0304.tiff,,54,,46,100,,
s1_0305.tiff,89,54,7,146,100,3,
s1_0306.tiff,89,5,,146,100,,
s1_0307.tiff,90,55,,46,100,,4
s1_0308.tiff,9,55,,46,100,,
s1_0309.tiff,,4,,46,100,,
s1_0310.tiff,,54,,146,100,,
s1_0311.tiff,90,5,,46,100,,3
s1_0312.tiff,90,5,,146,100,,
s1_0313.tiff,90,55,,146,100,,
s1_0314.tiff,90,55,,146,100,,
s1_0315.tiff,83,54,,146,100,,
s1_0316.tiff,,5,,146,100,,
s1_0317.tiff,90,5,,146,100,,
s1_0318.tiff,90,55,,146,100,,
s1_0319.tiff,90,55,,146,100,,
s1_0320.tiff,90,55,,146,100,,
s1_0321.tiff,,,,146,100,,
s1_0322.tiff,,5,,46,100,,
s1_0323.tiff,,5,,46,100,,
s1_0324.tiff,90,55,,46,100,,7
s1_0325.tiff,90,55,,146,4,,7
s1_0326.tiff,90,55,,146,100,,
s1_0327.tiff,89,54,,146,100,7,
s1_0328.tiff,,54,,146,100,,
s1_0329.tiff,90,55,,146,100,,
s1_0330.tiff,90,53,,147,100,,
s1_0331.tiff,91,55,,146,100,,
s1_0332.tiff,89,5,,146,100,,
s1_0333.tiff,,54,,146,100,,
s1_0334.tiff,89,54,,146,99,,7
s1_0335.tiff,90,,,146,100,,
s1_0336.tiff,91,55,,146,99,,
s1_0337.tiff,,55,,146,99,,
s1_0338.tiff,91,55,,146,99,,7
s1_0339.tiff,,54,,146,99,,
s1_0340.tiff,89,54,7,146,99,,
s1_0341.tiff,,,,146,98,,8
s1_0342.tiff,90,,,146,99,,8
s1_0343.tiff,90,55,,146,99,,
s1_0344.tiff,90,55,7,,99,,
s1_0345.tiff,,54,,146,,,
s1_0346.tiff,89,54,,146,99,,
s1_0347.tiff,90,55,,146,100,,
s1_0348.tiff,90,55,,146,99,,
s1_0349.tiff,,55,,146,100,,3
s1_0350.tiff,,55,,146,100,,8
s1_0351.tiff,89,5,7,146,100,,
s1_0352.tiff,83,5,7,146,100,,8
s1_0353.tiff,90,5,,146,100,,
s1_0354.tiff,90,,,146,99,,
s1_0355.tiff,90,,,146,99,,
s1_0356.tiff,90,,,146,99,,
s1_0357.tiff,89,54,,146,99,,
s1_0358.tiff,89,54,,146,100,,
s1_0359.tiff,90,55,,146,100,0,
s1_0360.tiff,90,,,146,100,,
s1_0361.tiff,90,,,146,100,,
s1_0362.tiff,90,55,,146,100,00,7
s1_0363.tiff,,5,,146,100,,
s1_0364.tiff,83,5,,146,100,,
s1_0365.tiff,92,55,2,146,100,0,
s1_0366.tiff,95,57,,146,100,,
s1_0367.tiff,95,57,,46,100,,
s1_0368.tiff,95,57,,146,100,,
s1_0369.tiff,92,56,,146,99,,
s1_0370.tiff,92,56,,146,99,,
s1_0371.tiff,93,56,2,146,99,,
s1_0372.tiff,97,58,,146,399,,
s1_0373.tiff,97,58,75,145,99,,5
s1_0374.tiff,93,57,7,145,99,,
s1_0375.tiff,93,57,7,145,99,,
s1_0376.tiff,93,57,2,145,99,,7
s1_0377.tiff,95,57,7,145,99,,
s1_0378.tiff,98,59,,,99,,
s1_0379.tiff,98,59,,145,99,,
s1_0380.tiff,98,59,7,145,99,,
s1_0381.tiff,95,58,,145,100,,
s1_0382.tiff,95,58,,145,99,,7
s1_0383.tiff,96,58,7,145,99,,
s1_0384.tiff,99,59,,145,99,,
s1_0385.tiff,99,59,,144,99,,
s1_0386.tiff,99,59,,144,99,,
s1_0387.tiff,96,,,143,99,,
s1_0388.tiff,9,58,,143,99,,
s1_0389.tiff,97,,,143,99,,
s1_0390.tiff,99,59,7,143,99,,
s1_0391.tiff,99,59,,143,99,,
s1_0392.tiff,,,,143,99,,
s1_0393.tiff,9,,7,143,99,,
s1_0394.tiff,96,,,143,99,,
s1_0395.tiff,97,,,143,99,,
s1_0396.tiff,93,59,,143,99,,
s1_0397.tiff,99,59,,143,98,,
s1_0398.tiff,99,59,7,143,98,,
s1_0399.tiff,9,,7,143,98,,
s1_0400.tiff,96,58,3,143,98,,
s1_0401.tiff,97,58,2,142,98,,
s1_0402.tiff,99,59,,142,98,,
s1_0403.tiff,99,59,,142,99,,
s1_0404.tiff,99,59,,142,99,,
s1_0405.tiff,95,57,,142,99,,
s1_0406.tiff,95,57,,142,99,,
s1_0407.tiff,97,58,3,41,99,,
s1_0408.tiff,99,59,,41,99,,
s1_0409.tiff,99,59,,141,99,,
s1_0410.tiff,99,59,,141,398,,
s1_0411.tiff,95,57,,41,99,,0
s1_0412.tiff,95,57,,141,99,,
s1_0413.tiff,9,58,7,41,399,,5
s1_0414.tiff,99,59,,41,99,,0
s1_0415.tiff,99,59,,41,99,,
s1_0416.tiff,95,57,,41,99,,
s1_0417.tiff,95,57,,41,,,
s1_0418.tiff,95,57,,41,98,,0
s1_0419.tiff,96,57,3,41,98,,
s1_0420.tiff,99,58,,41,98,,
s1_0421.tiff,99,58,,41,99,,
s1_0422.tiff,99,58,,,,,
s1_0423.tiff,95,57,,140,99,,
s1_0424.tiff,95,57,,140,99,,
s1_0425.tiff,96,57,,140,99,,
s1_0426.tiff,99,58,,140,99,,
s1_0427.tiff,99,58,,140,,,
s1_0428.tiff,99,58,,140,99,,
s1_0429.tiff,95,57,,140,99,,7
s1_0430.tiff,95,57,7,140,99,,
s1_0431.tiff,96,57,,140,99,,
s1_0432.tiff,99,,,140,99,,
